player,is_rookie,yrs_exp,headshot
Bojan Bogdanovic,FALSE,7,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202711.png
Bol Bol,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629626.png
Leandro Bolmaro,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630195.png
Isaac Bonga,FALSE,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629067.png
Devin Booker,FALSE,6,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1626164.png
Brandon Boston Jr.,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630527.png
Chris Boucher,FALSE,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628449.png
James Bouknight,TRUE,0,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630547.png
Brian Bowen II,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628968.png
Avery Bradley,FALSE,11,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/202340.png
Tony Bradley,FALSE,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628396.png
Ignas Brazdeikis,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629649.png
Mikal Bridges,FALSE,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628969.png
Miles Bridges,FALSE,3,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628970.png
Oshae Brissett,FALSE,2,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629052.png
Malcolm Brogdon,FALSE,5,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627763.png
Armoni Brooks,FALSE,1,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629717.png
Dillon Brooks,FALSE,4,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628415.png
